CD_NOM;Nom scientifique;Indicatrice ZH
73824;Cosmarium difficile var. sublaeve Lütkem., 1893;-
648934;Cosmarium dilatatum Lütkem., 1960;-
894986;Cosmarium doliforme West & G.S.West, 1896;-
719865;Cosmarium eductum J.Roy & Bisset, 1888;-
648939;Cosmarium eichlerianum (Grönblad) Messikommer, 1957;-
73826;Cosmarium elegantissimum Lund.;-
648940;Cosmarium elegantissimum var. subsimplex Gronblad, 1926;-
73827;Cosmarium exiguum Kirchn.;-
73828;Cosmarium exiguum var. pressum W. & G. s. West;-
720325;Cosmarium finlandicum (Grönblad) Prescott, 1981;-
720326;Cosmarium finlandicum var. subetchachanense (Grönblad) Prescott, 1981;-
648941;Cosmarium fontigenum Nordst., 1878;-
73829;Cosmarium formosulum Hoff, 1888;-
648943;Cosmarium formosulum var. nathorstii (Boldt) West & G.S.West, 1908;-
627058;Cosmarium furcatospermum West & G.S.West, 1894;-
894987;Cosmarium furcatospermum var. maius Prescott, 1981;-
73830;Cosmarium galeritum Nordst.;-
73831;Cosmarium garrolense J.Roy & Bisset, 1894;-
648945;Cosmarium garrolense var. dimidio-minor (Gronblad) Willi Krieg. & Gerloff, 1962;-
648946;Cosmarium gayanum De Toni, 1889;-
648947;Cosmarium gayanum var. eboracense (West) West & G.S.West, 1912;-
648949;Cosmarium geminatum P.Lundell, 1871;-
648955;Cosmarium globosum var. subaltum Messikommer, 1935;-
73833;Cosmarium goniodes West & G.S.West, 1895;-
648956;Cosmarium goniodes var. subturgidum West & G.S.West, 1902;-
73835;Cosmarium granatum Bréb. ex Ralfs, 1848;-
648957;Cosmarium granatum var. alatum (Jacobsen) Förster, 1965;-
648958;Cosmarium granatum var. concavum Lagerh., 1890;-
648959;Cosmarium granatum var. delpontei Gutw., 1891;-
648960;Cosmarium granatum var. elongatum Nordst., 1872;-
648961;Cosmarium granatum var. nordstedtii Hansg., 1888;-
73837;Cosmarium hammeri Reinsch, 1866;-
648962;Cosmarium hammeri var. croasdale Willi Krieg. & Gerloff, 1962;-
648963;Cosmarium hammeri var. protuberans West & G.S.West, 1896;-
648964;Cosmarium haynaldii Schaarschmidt, 1883;-
73840;Cosmarium holmiense P.Lundell, 1871;-
648965;Cosmarium holmiense var. attenuatum Gutw., 1890;-
648966;Cosmarium holmiense var. constrictum (Gutw.) Willi Krieger & Gerloff, 1965;-
648967;Cosmarium holmiense var. hibernicum (West) Schmidle, 1894;-
73841;Cosmarium holmiense var. integrum Lundell, 1871;-
648968;Cosmarium holmiense var. intermedium Gutw., 1896;-
73842;Cosmarium holmiense var. undatum West & G.S.West, 1894;-
648969;Cosmarium homalodermum Nordst., 1875;-
648970;Cosmarium horizontale (Schmidle) Kouwets, 1997;-
648971;Cosmarium hornavanense Gutw., 1909;-
999398;Cosmarium hornavanense var. dubovianum (Lütkem.) Ruzicka, 1949;-
73843;Cosmarium humile Nordst. ex De Toni, 1889;-
648972;Cosmarium humile var. danicum (Børgesen) Schmidle, 1895;-
648973;Cosmarium humile var. glabrum Gutw., 1892;-
648974;Cosmarium humile var. striatum (Boldt) Schmidle, 1895;-
73844;Cosmarium impressulum Elfving, 1881;-
999387;Cosmarium impressulum var. crenulatum (Nägeli) Willi Krieger & Gerloff, 1965;-
648975;Cosmarium impressulum var. suborthogonum (Racib.) Taft, 1945;-
648976;Cosmarium incertum Schmidle, 1895;-
648977;Cosmarium inconspicuum West & G.S.West, 1896;-
648978;Cosmarium indentatum Grönblad, 1920;-
648979;Cosmarium infirmum Grondblad, 1926;-
648980;Cosmarium intermedium Delponte, 1878;-
720329;Cosmarium intermedium var. major Irénée-Marie & Hilliard, 1963;-
648981;Cosmarium isthmium West, 1890;-
648982;Cosmarium isthmochondrum Nordst., 1873;-
648983;Cosmarium isthmochondrum var. pergranulatum West & G.S.West, 1905;-
648985;Cosmarium jaoi Kouwets, 1998;-
648986;Cosmarium jenisejense Boldt, 1885;-
648987;Cosmarium kirchneri Børgesen, 1889;-
648989;Cosmarium kjellmanii Wille, 1879;-
648990;Cosmarium kjellmanii var. grande Wille, 1879;-
648991;Cosmarium kjellmanii var. ornatum Wille, 1879;-
